,name,link,rate,location,h_id
32,Holiday Inn Bangkok Sukhumvit,https://www.tripadvisor.fr/Hotel_Review-g293916-d3657941-Reviews-Holiday_Inn_Bangkok_Sukhumvit-Bangkok.html,"4,5","1 Sukhumvit 22 Khlong Tan, Khlong Toei, Bangkok 10110 Thaïlande",2939163657941
33,Hôtel Design Secret de Paris,https://www.tripadvisor.fr/Hotel_Review-g187147-d1633522-Reviews-Secret_de_Paris_Hotel_Spa-Paris_Ile_de_France.html,"5,0","2 rue de Parme, 75009 Paris France",1871471633522
34,Hôtel Design Secret de Paris,https://www.tripadvisor.fr/Hotel_Review-g187147-d1633522-Reviews-Secret_de_Paris_Hotel_Spa-Paris_Ile_de_France.html,"5,0","2 rue de Parme, 75009 Paris France",1871471633522
35,Hôtel Design Secret de Paris,https://www.tripadvisor.fr/Hotel_Review-g187147-d1633522-Reviews-Secret_de_Paris_Hotel_Spa-Paris_Ile_de_France.html,"5,0","2 rue de Parme, 75009 Paris France",1871471633522
36,Hôtel Design Secret de Paris,https://www.tripadvisor.fr/Hotel_Review-g187147-d1633522-Reviews-Secret_de_Paris_Hotel_Spa-Paris_Ile_de_France.html,"5,0","2 rue de Parme, 75009 Paris France",1871471633522
37,Hôtel Eiffel Blomet,https://www.tripadvisor.fr/Hotel_Review-g187147-d6395273-Reviews-Hotel_Eiffel_Blomet-Paris_Ile_de_France.html,"4,5","78 rue Blomet, 75015 Paris France",1871476395273
38,Hotel Molitor Paris - MGallery Collection,https://www.tripadvisor.fr/Hotel_Review-g187147-d6534774-Reviews-Hotel_Molitor_Paris_MGallery_Hotel_Collection-Paris_Ile_de_France.html,"4,5","13 Rue Nungesser Et Coli, 75016 Paris France",1871476534774
39,Hôtel Eiffel Blomet,https://www.tripadvisor.fr/Hotel_Review-g187147-d6395273-Reviews-Hotel_Eiffel_Blomet-Paris_Ile_de_France.html,"4,5","78 rue Blomet, 75015 Paris France",1871476395273
40,Hotel Molitor Paris - MGallery Collection,https://www.tripadvisor.fr/Hotel_Review-g187147-d6534774-Reviews-Hotel_Molitor_Paris_MGallery_Hotel_Collection-Paris_Ile_de_France.html,"4,5","13 Rue Nungesser Et Coli, 75016 Paris France",1871476534774
41,Starfish Varadero,https://www.tripadvisor.fr/Hotel_Review-g147275-d275185-Reviews-Starfish_Varadero-Varadero_Matanzas_Province_Cuba.html,"3,5","Carretera las Morlas, Km 14.5, Varadero 42200 Cuba",147275275185
42,Flamingo Las Vegas Hotel & Casino,https://www.tripadvisor.fr/Hotel_Review-g45963-d91844-Reviews-Flamingo_Las_Vegas_Hotel_Casino-Las_Vegas_Nevada.html,"3,5","3555 Las Vegas Blvd S, Las Vegas, NV 89109-8901",4596391844
