,name,rate,title,u_id,h_id
349,,"2,0",,-2960153044526505289,A CHANGER
350,,"3,0",,-2960153044526505289,A CHANGER
351,,"5,0",,-2960153044526505289,A CHANGER
352,,"4,0",,-2960153044526505289,A CHANGER
353,,"1,0",,-2960153044526505289,A CHANGER
354,,"4,0",,-2960153044526505289,A CHANGER
355,Vernon H,"5,0",Remerciements,-5686040381444590498,A CHANGER
356,Lionel B,"5,0",Excellent Service et Hôtel très bien situé,-4161959882401035689,A CHANGER
357,,"5,0",,-4161959882401035689,A CHANGER
358,,"5,0",,-4161959882401035689,A CHANGER
359,,"4,0",,-4161959882401035689,A CHANGER
360,Olivier J,"5,0","Bon service du soir, hotel propre bien placé, et jolie décor ",7755273461755642319,A CHANGER
361,,"5,0",,7755273461755642319,A CHANGER
362,Céline D,"5,0",Magnifique séjour,-2471698035402619367,A CHANGER
363,founet76,"5,0",Superbe endroit...,14662590431851631,A CHANGER
364,,"5,0",,14662590431851631,A CHANGER
365,,"5,0",,14662590431851631,A CHANGER
366,,"5,0",,14662590431851631,A CHANGER
367,,"5,0",,14662590431851631,A CHANGER
368,,"5,0",,14662590431851631,A CHANGER
369,,"5,0",,14662590431851631,A CHANGER
370,,"4,0",,14662590431851631,A CHANGER
371,Julien,"5,0",Séjour parfait,4027954529803573186,A CHANGER
372,palls,"4,0","PETIT, CALME ET BEAU",-3510585359920322086,A CHANGER
373,,"4,0",,-3510585359920322086,A CHANGER
374,,"5,0",,-3510585359920322086,A CHANGER
375,vadrouillex,"4,0",Hôtel calme et confortable - chambre 102 sur rue,2638492523683653555,A CHANGER
376,,"3,0",,2638492523683653555,A CHANGER
377,,"4,0",,2638492523683653555,A CHANGER
378,,"4,0",,2638492523683653555,A CHANGER
379,,"5,0",,2638492523683653555,A CHANGER
380,,"4,0",,2638492523683653555,A CHANGER
381,betty,"2,0",Endroit non sécurisé,4891290910625545832,A CHANGER
382,,"2,0",,4891290910625545832,A CHANGER
383,Capitaine R,"4,0",2 nuits à la chambre 107,2226765752401814271,A CHANGER
384,,"5,0",,2226765752401814271,A CHANGER
385,,"4,0",,2226765752401814271,A CHANGER
386,,"4,0",,2226765752401814271,A CHANGER
387,,"3,0",,2226765752401814271,A CHANGER
388,gnadgo,"5,0",Un petit nid douillet ,2239986375328572338,A CHANGER
389,,"3,0",,2239986375328572338,A CHANGER
390,,"5,0",,2239986375328572338,A CHANGER
391,Alizéa,"1,0",ARNAQUE !,-2340333653467444718,A CHANGER
392,,"1,0",,-2340333653467444718,A CHANGER
393,,"1,0",,-2340333653467444718,A CHANGER
394,Anne-karen F,"2,0",décevant,210445003529675439,A CHANGER
395,jeanvandelaar,"5,0",à recommander !,5981781690797305293,A CHANGER
396,,"5,0",,5981781690797305293,A CHANGER
397,,"4,0",,5981781690797305293,A CHANGER
398,,"4,0",,5981781690797305293,A CHANGER
399,Jean-James77700,"4,0",1 nuit en famille pour le réveillon,3663425472593895196,A CHANGER
400,,"4,0",,3663425472593895196,A CHANGER
401,vfayat,"5,0","Charmant, de quelité  et bon prix",1815016156003072860,A CHANGER
402,Thierry B,"4,0",Appart’hotel bien situé ,5775204452537945595,A CHANGER
403,,"4,0",,5775204452537945595,A CHANGER
404,,"4,0",,5775204452537945595,A CHANGER
405,,"2,0",,5775204452537945595,A CHANGER
406,,"4,0",,5775204452537945595,A CHANGER
407,Abdou404,"4,0",Hotel calme très bien situé,7733417139134940944,A CHANGER
